Name,altitudeMo,b1,b2,begin,descriptio,end,extrude,icon,tessellate,timestamp,visibility
SELS A1,,0.0156299277691536,-31.32285132435126,,,,0,,-1,,-1
SELS A2,,0.037895711169760926,-75.78728777033444,,,,0,,-1,,-1
SELS A3,,0.038794558887806176,-77.56555308577664,,,,0,,-1,,-1
SELS A4,,0.029162491822102874,-58.406428494150916,,,,0,,-1,,-1
SELS B1,,0.1437287881124625,-287.28420350810654,,,,0,,-1,,-1
SELS C1,,0.23414717423810474,-467.4827599441917,,,,0,,-1,,-1
SELS C2,,0.19485538935374855,-389.8943268940426,,,,0,,-1,,-1
SELS D1,,0.20848136256077243,-414.11691003699167,,,,0,,-1,,-1
SELS D2,,0.27194686387215256,-542.6442033575223,,,,0,,-1,,-1
SELS D3,,0.25341543910521325,-506.62767646677656,,,,0,,-1,,-1
SELS E1,,0.11647955669282888,-233.3859946428135,,,,0,,-1,,-1
SELS E2,,0.04089893624617409,-81.9250716948553,,,,0,,-1,,-1
SELS E3,,0.021346299706815616,-42.762538416796474,,,,0,,-1,,-1
